Origin,Destination,originalPassengers,passengers,
Adelaide,Melbourne, 189 519,189.519 ,
Adelaide,Sydney, 137 571,137.571 ,
Adelaide,Brisbane, 64 411,64.411 ,
Adelaide,Perth, 48 750,48.750 ,
Adelaide,Gold Coast, 14 931,14.931 ,
Adelaide,Canberra, 14 929,14.929 ,
Adelaide,Alice Springs, 12 995,12.995 ,
Adelaide,Port Lincoln, 12 923,12.923 ,
Albury,Sydney, 18 094,18.094 ,
Alice Springs,Darwin, 10 256,10.256 ,
Armidale,Sydney, 9 716,9.716 ,
Ayers Rock,Sydney, 17 749,17.749 ,
Ballina,Sydney, 29 405,29.405 ,
Brisbane,Sydney, 379 906,379.906 ,
Brisbane,Melbourne, 275 064,275.064 ,
Brisbane,Cairns, 103 936,103.936 ,
Brisbane,Townsville, 86 707,86.707 ,
Brisbane,Perth, 72 879,72.879 ,
Brisbane,Mackay, 62 406,62.406 ,
Brisbane,Canberra, 52 510,52.510 ,
Brisbane,Newcastle, 46 864,46.864 ,
Brisbane,Rockhampton, 43 278,43.278 ,
Brisbane,Darwin, 32 996,32.996 ,
Brisbane,Gladstone, 19 946,19.946 ,
Brisbane,Proserpine, 16 814,16.814 ,
Brisbane,Emerald, 16 639,16.639 ,
Brisbane,Hobart, 15 742,15.742 ,
Brisbane,Bundaberg, 12 650,12.650 ,
Brisbane,Mount Isa, 11 881,11.881 ,
Brisbane,Hamilton Island, 9 905,9.905 ,
Broome,Perth, 30 424,30.424 ,
Cairns,Sydney, 79 053,79.053 ,
Cairns,Melbourne, 66 986,66.986 ,
Cairns ,Townsville, 12 580,12.580 ,
Canberra,Melbourne, 91 915,91.915 ,
Canberra,Sydney, 78 511,78.511 ,
Coffs Harbour,Sydney, 24 770,24.770 ,
Darwin,Sydney, 32 841,32.841 ,
Darwin,Melbourne, 30 034,30.034 ,
Darwin,Perth, 15 872,15.872 ,
Dubbo,Sydney, 14 865,14.865 ,
Geraldton,Perth, 8 516,8.516 ,
Gold Coast,Sydney, 198 492,198.492 ,
Gold Coast,Melbourne, 155 056,155.056 ,
Hamilton Island,Sydney, 11 665,11.665 ,
Hobart,Melbourne, 123 930,123.930 ,
Hobart,Sydney, 51 946,51.946 ,
Kalgoorlie,Perth, 21 962,21.962 ,
Karratha,Perth, 36 877,36.877 ,
Launceston,Melbourne, 65 493,65.493 ,
Launceston,Sydney, 16 763,16.763 ,
Melbourne,Sydney, 701 648,701.648 ,
Melbourne,Perth, 154 069,154.069 ,
Melbourne,Sunshine Coast, 38 329,38.329 ,
Melbourne,Newcastle, 37 147,37.147 ,
Melbourne,Mildura, 18 607,18.607 ,
Newman,Perth, 27 533,27.533 ,
Perth,Sydney, 124 608,124.608 ,
Perth,Port Hedland, 29 318,29.318 ,
Port Macquarie,Sydney, 15 154,15.154 ,
Proserpine,Sydney, 8 486,8.486 ,
Sunshine Coast,Sydney, 48 051,48.051 ,
Sydney,Wagga Wagga, 15 029,15.029 ,
Sydney,Tamworth, 14 047,14.047 ,
Sydney,Townsville, 11 982,11.982 ,
